summoner_name,champion_name,tags,kills,deaths,assists,lane,team_color,has_won,goldEarned,totalDamageDealtToChampions,totalMinionsKilled,neutralMinionsKilled,items
TA0 TA0,Lulu,"Support, Mage",0,12,20,UTILITY,100,True,8385,9753,34,0,"Moonstone Renewer, Zaz'Zak's Realmspike, Ionian Boots of Lucidity, Null-Magic Mantle, Kindlegem, Ardent Censer, Oracle Lens"
RakAsuna,AurelionSol,Mage,10,13,11,TOP,200,False,13082,32290,169,0,"Rylai's Crystal Scepter, Liandry's Torment, Seraph's Embrace, Sorcerer's Shoes, Needlessly Large Rod, Needlessly Large Rod, Stealth Ward"
Amrk jr,Alistar,"Tank, Support",2,5,19,JUNGLE,200,False,10375,18114,25,143,"Plated Steelcaps, Unending Despair, Control Ward, Heartsteel, Chain Vest, Bami's Cinder, Oracle Lens"
Cloude,Talon,Assassin,10,15,6,MIDDLE,200,False,11535,39806,155,2,"Edge of Night, Youmuu's Ghostblade, Boots of Swiftness, Opportunity, The Brutalizer, Long Sword, Farsight Alteration"
pan bronzu,Tristana,"Marksman, Assassin",17,7,6,BOTTOM,200,False,17830,27588,217,3,"Bloodthirster, The Collector, Berserker's Greaves, Navori Flickerblade, Infinity Edge, Guardian Angel, Farsight Alteration"
xShae,Nami,"Support, Mage",3,6,21,UTILITY,200,False,8830,16138,22,0,"Zaz'Zak's Realmspike, Moonstone Renewer, Shurelya's Battlesong, Ionian Boots of Lucidity, Imperial Mandate, Unknown Item, Oracle Lens"
RakAsuna,AurelionSol,Mage,4,6,3,TOP,100,True,10223,25343,178,0,"Liandry's Torment, Seraph's Embrace, Sorcerer's Shoes, Blasting Wand, Giant's Belt, Amplifying Tome, Stealth Ward"
Amrk jr,TahmKench,"Tank, Support",8,0,15,JUNGLE,100,True,11501,34685,11,131,"Plated Steelcaps, Heartsteel, Unending Despair, Bami's Cinder, Unknown Item, Unknown Item, Oracle Lens"
pan bronzu,Naafiri,"Assassin, Fighter",10,6,9,MIDDLE,100,True,11718,25803,171,6,"Serylda's Grudge, Profane Hydra, Eclipse, Unknown Item, Ionian Boots of Lucidity, Unknown Item, Farsight Alteration"
Cloude,Samira,"Marksman, Assassin",6,3,3,BOTTOM,100,True,10310,18177,200,4,"Hubris, The Collector, Mercury's Treads, Last Whisper, Cloak of Agility, Long Sword, Farsight Alteration"
xShae,Soraka,"Support, Mage",1,1,12,UTILITY,100,True,6377,6142,22,0,"Dream Maker, Redemption, Ionian Boots of Lucidity, Moonstone Renewer, Unknown Item, Unknown Item, Oracle Lens"
fALIŃSKI,DrMundo,"Tank, Fighter",8,6,1,TOP,200,False,12371,31291,176,4,"Boots of Swiftness, Titanic Hydra, Warmog's Armor, Heartsteel, Tunneler, Unknown Item, Stealth Ward"
AstridThore,Vi,"Fighter, Assassin",4,6,4,JUNGLE,200,False,8298,10255,14,118,"Black Cleaver, Health Potion, Sundered Sky, Mercury's Treads, Unknown Item, Unknown Item, Oracle Lens"
HumStoN,Diana,"Fighter, Assassin",2,8,6,MIDDLE,200,False,8452,19299,130,0,"Doran's Ring, Zhonya's Hourglass, Sorcerer's Shoes, Stormsurge, Amplifying Tome, Unknown Item, Stealth Ward"
Amnemon The King,Ezreal,"Marksman, Mage",2,5,3,BOTTOM,200,False,8740,16441,181,0,"Doran's Blade, Tear of the Goddess, Ionian Boots of Lucidity, Trinity Force, Blade of The Ruined King, Unknown Item, Stealth Ward"
mik441,Maokai,"Tank, Support",0,4,1,UTILITY,200,False,5427,7078,45,0,"Solstice Sleigh, Negatron Cloak, Bramble Vest, Plated Steelcaps, Spectre's Cowl, Unknown Item, Oracle Lens"
pan bronzu,Smolder,"Marksman, Mage",5,8,6,TOP,100,False,21849,50864,378,18,"Bloodthirster, Rapid Firecannon, Muramana, Trinity Force, Zephyr, Guardian Angel, Farsight Alteration"
Amrk jr,Caitlyn,Marksman,21,13,6,JUNGLE,100,False,24581,88605,73,257,"Zephyr, Infinity Edge, Lord Dominik's Regards, Youmuu's Ghostblade, Axiom Arc, The Collector, Oracle Lens"
RakAsuna,Katarina,"Assassin, Mage",5,22,4,MIDDLE,100,False,15672,22148,239,0,"Zhonya's Hourglass, Sorcerer's Shoes, Shadowflame, Lich Bane, Morellonomicon, Needlessly Large Rod, Stealth Ward"
Cloude,KogMaw,"Marksman, Mage",5,11,15,BOTTOM,100,False,16869,70119,292,4,"Seraph's Embrace, Luden's Companion, Sorcerer's Shoes, Shadowflame, Horizon Focus, Morellonomicon, Farsight Alteration"
xShae,Nami,"Support, Mage",0,9,24,UTILITY,100,False,11521,19342,33,0,"Zaz'Zak's Realmspike, Shurelya's Battlesong, Moonstone Renewer, Ionian Boots of Lucidity, Staff of Flowing Water, Imperial Mandate, Oracle Lens"
RONINQ,Yorick,"Fighter, Tank",11,4,11,TOP,200,True,23393,45253,380,12,"Titanic Hydra, Frozen Heart, Iceborn Gauntlet, Force of Nature, Sundered Sky, Plated Steelcaps, Stealth Ward"
VıTT,RekSai,"Fighter, Tank",13,9,14,JUNGLE,200,True,18873,27801,34,213,"Stridebreaker, Spear of Shojin, Kaenic Rookern, Plated Steelcaps, Sterak's Gage, Thornmail, Oracle Lens"
Trigon the duck,Lux,"Mage, Support",25,10,13,MIDDLE,200,True,22873,79501,294,9,"Luden's Companion, Malignance, Sorcerer's Shoes, Shadowflame, Horizon Focus, Rabadon's Deathcap, Farsight Alteration"
Kitchen Glove,Xayah,Marksman,11,8,8,BOTTOM,200,True,16871,27858,236,14,"Essence Reaver, Navori Flickerblade, Infinity Edge, Bloodthirster, Null-Magic Mantle, Berserker's Greaves, Stealth Ward"
Jesy Nelson,Seraphine,"Support, Mage",3,5,29,UTILITY,200,True,14045,16878,54,4,"Redemption, Ionian Boots of Lucidity, Celestial Opposition, Echoes of Helia, Moonstone Renewer, Dawncore, Oracle Lens"
FlashDealsDMG,Chogath,"Tank, Mage",5,8,2,TOP,100,False,11588,18291,191,4,"Kaenic Rookern, Bramble Vest, Heartsteel, Plated Steelcaps, Sunfire Aegis, Ruby Crystal, Stealth Ward"
Amrk jr,Zac,"Tank, Fighter",3,9,14,JUNGLE,100,False,9938,15877,19,112,"Plated Steelcaps, Sunfire Aegis, Control Ward, Bramble Vest, Chain Vest, Spirit Visage, Oracle Lens"
Lindemann,Ryze,Mage,14,7,7,MIDDLE,100,False,14444,41564,179,8,"Zhonya's Hourglass, Seraph's Embrace, Rod of Ages, Banshee's Veil, Glacial Buckler, Sorcerer's Shoes, Farsight Alteration"
Leeevente,Zeri,Marksman,14,10,7,BOTTOM,100,False,15360,36855,197,8,"Infinity Edge, Runaan's Hurricane, Berserker's Greaves, Lord Dominik's Regards, Vampiric Scepter, Yun Tal Wildarrows, Stealth Ward"
Cloude,Karma,"Mage, Support",4,12,12,UTILITY,100,False,9296,11791,35,0,"Dream Maker, Imperial Mandate, Ionian Boots of Lucidity, Moonstone Renewer, Staff of Flowing Water, Control Ward, Oracle Lens"
ArCade,Ambessa,"Fighter, Assassin",3,10,5,TOP,200,True,10774,24848,188,0,"Ravenous Hydra, Black Cleaver, Pickaxe, Mercury's Treads, Doran's Blade, Tunneler, Stealth Ward"
Bestia z Krakowa,Khazix,Assassin,16,7,17,JUNGLE,200,True,16637,38002,22,205,"Edge of Night, Ionian Boots of Lucidity, Profane Hydra, Serylda's Grudge, Maw of Malmortius, Negatron Cloak, Oracle Lens"
goon123,AurelionSol,Mage,11,9,16,MIDDLE,200,True,13538,45458,175,4,"Doran's Ring, Rylai's Crystal Scepter, Amplifying Tome, Liandry's Torment, Rabadon's Deathcap, Sorcerer's Shoes, Stealth Ward"
Uzümaki Mati,Sivir,Marksman,9,7,16,BOTTOM,200,True,14567,42256,242,14,"Berserker's Greaves, Essence Reaver, Mortal Reminder, Pickaxe, Navori Flickerblade, B. F. Sword, Farsight Alteration"
Kneeless,Rell,"Tank, Support",7,8,28,UTILITY,200,True,11200,16460,21,0,"Solstice Sleigh, Zeke's Convergence, Locket of the Iron Solari, Mercury's Treads, Trailblazer, Watchful Wardstone, Oracle Lens"
mis dzeri,Olaf,"Fighter, Tank",18,4,4,TOP,100,True,17311,39184,203,0,"Ravenous Hydra, Executioner's Calling, Sundered Sky, Ionian Boots of Lucidity, Sterak's Gage, Death's Dance, Stealth Ward"
Xarmani,Hecarim,"Fighter, Tank",2,1,5,JUNGLE,100,True,9578,5399,20,150,"Unknown Item, Unknown Item, Eclipse, Boots of Swiftness, Black Cleaver, Pickaxe, Oracle Lens"
megamat258,Jayce,"Marksman, Fighter",6,6,4,MIDDLE,100,True,11703,22803,170,7,"Doran's Blade, Opportunity, Muramana, Edge of Night, Ionian Boots of Lucidity, Long Sword, Stealth Ward"
Amrk jr,Caitlyn,Marksman,8,7,5,BOTTOM,100,True,11378,17466,161,4,"Berserker's Greaves, Zeal, Unknown Item, Infinity Edge, Scout's Slingshot, The Collector, Farsight Alteration"
Cloude,Rell,"Tank, Support",4,6,9,UTILITY,100,True,8003,8254,17,0,"Celestial Opposition, Locket of the Iron Solari, Plated Steelcaps, Zeke's Convergence, Unknown Item, Unknown Item, Oracle Lens"
Børys B,Aatrox,Fighter,1,6,6,TOP,200,False,9138,12893,179,4,"Sundered Sky, Eclipse, Steel Sigil, Plated Steelcaps, Glowing Mote, Unknown Item, Stealth Ward"
Snupix,Nocturne,"Fighter, Assassin",4,10,7,JUNGLE,200,False,8882,15067,13,117,"Eclipse, Executioner's Calling, Profane Hydra, Plated Steelcaps, Unknown Item, Unknown Item, Oracle Lens"
Dark Ace,Ekko,"Assassin, Mage",5,7,2,MIDDLE,200,False,10157,14262,203,0,"Seeker's Armguard, Dark Seal, Hextech Rocketbelt, Nashor's Tooth, Unknown Item, Sorcerer's Shoes, Stealth Ward"
Chand,Jhin,"Marksman, Mage",7,9,6,BOTTOM,200,False,10731,15646,135,4,"Infinity Edge, Boots of Swiftness, The Collector, Last Whisper, Noonquiver, Unknown Item, Stealth Ward"
K A T A K A Θ I,Lux,"Mage, Support",7,6,7,UTILITY,200,False,9280,16455,69,4,"Zaz'Zak's Realmspike, Luden's Companion, Sorcerer's Shoes, Shadowflame, Amplifying Tome, Null-Magic Mantle, Oracle Lens"
WhajtPowerCrnio,Akali,Assassin,2,2,0,TOP,100,False,4464,3341,79,0,"Doran's Shield, Refillable Potion, Boots, Stormsurge, Unknown Item, Unknown Item, Stealth Ward"
Snowxdmous,Viego,"Fighter, Assassin",0,5,4,JUNGLE,100,False,4832,5425,5,95,"Gustwalker Hatchling, Kraken Slayer, Ruby Crystal, Cloth Armor, Slightly Magical Footwear, Ruby Crystal, Oracle Lens"
TheLizardWizard,Leblanc,"Assassin, Mage",3,4,1,MIDDLE,100,False,4446,7821,64,0,"Luden's Companion, Refillable Potion, Unknown Item, Unknown Item, Boots, Unknown Item, Stealth Ward"
Pathetic ADC,Kaisa,"Marksman, Mage",1,5,0,BOTTOM,100,False,4309,3490,76,4,"Doran's Blade, Statikk Shiv, Dagger, Unknown Item, Slightly Magical Footwear, Unknown Item, Stealth Ward"
Phil2Diamond,Lulu,"Support, Mage",1,7,2,UTILITY,100,False,3541,2809,19,0,"Runic Compass, Shurelya's Battlesong, Unknown Item, Unknown Item, Unknown Item, Boots, Oracle Lens"
SettMaster69,Jayce,"Marksman, Fighter",2,1,3,TOP,200,True,5957,7872,105,0,"Doran's Blade, Refillable Potion, Eclipse, Tear of the Goddess, Ionian Boots of Lucidity, Caulfield's Warhammer, Stealth Ward"
Master Grotsas,Sejuani,Tank,4,4,6,JUNGLE,200,True,6034,5071,10,76,"Mosstomper Seedling, Mercury's Treads, Hollow Radiance, Chain Vest, Control Ward, Unknown Item, Oracle Lens"
hotannierule34,Ahri,"Mage, Assassin",1,1,2,MIDDLE,200,True,5300,7636,109,0,"Refillable Potion, Doran's Ring, Malignance, Sorcerer's Shoes, Unknown Item, Unknown Item, Stealth Ward"
Amrk jr,Caitlyn,Marksman,14,0,2,BOTTOM,200,True,10010,14161,128,0,"Boots, The Collector, Rapid Firecannon, Infinity Edge, Unknown Item, Unknown Item, Farsight Alteration"
Cloude,TahmKench,"Tank, Support",2,1,11,UTILITY,200,True,5368,8460,11,0,"Solstice Sleigh, Heartsteel, Mercury's Treads, Unknown Item, Unknown Item, Unknown Item, Oracle Lens"
FaaRosh,Ambessa,"Fighter, Assassin",4,9,2,TOP,100,False,11235,24293,206,8,"Doran's Blade, Plated Steelcaps, Eclipse, Death's Dance, Black Cleaver, Unknown Item, Stealth Ward"
killerEX3,Khazix,Assassin,12,7,0,JUNGLE,100,False,12792,22739,5,162,"Edge of Night, Opportunity, Youmuu's Ghostblade, Plated Steelcaps, Last Whisper, Caulfield's Warhammer, Oracle Lens"
ForTheKing,Hwei,"Mage, Support",1,8,7,MIDDLE,100,False,9811,21128,207,0,"Needlessly Large Rod, Blackfire Torch, Liandry's Torment, Sorcerer's Shoes, Hextech Alternator, Unknown Item, Stealth Ward"
Amrk jr,Lux,"Mage, Support",0,5,10,UTILITY,100,False,8078,17625,64,0,"Ionian Boots of Lucidity, Morellonomicon, Zaz'Zak's Realmspike, Shurelya's Battlesong, Fated Ashes, Unknown Item, Oracle Lens"
Cloude,Aphelios,Marksman,3,4,3,BOTTOM,100,False,11905,18600,228,20,"The Collector, Mortal Reminder, Boots of Swiftness, Pickaxe, Youmuu's Ghostblade, Unknown Item, Farsight Alteration"
Gabitu,Volibear,"Fighter, Tank",9,7,4,TOP,200,True,15146,23870,186,22,"Unending Despair, Boots of Swiftness, Wit's End, Navori Flickerblade, Recurve Bow, Rod of Ages, Oracle Lens"
pwner888,Viego,"Fighter, Assassin",10,0,10,JUNGLE,200,True,14855,22461,43,191,"Sundered Sky, Long Sword, Plated Steelcaps, Death's Dance, Kraken Slayer, B. F. Sword, Farsight Alteration"
PentaFlauZ,Orianna,"Mage, Support",5,4,9,MIDDLE,200,True,13312,23409,224,0,"Luden's Companion, Shadowflame, Rabadon's Deathcap, Boots of Swiftness, Aether Wisp, Amplifying Tome, Stealth Ward"
tzuica premium,Ezreal,"Marksman, Mage",8,4,4,BOTTOM,200,True,13184,27437,230,0,"Ionian Boots of Lucidity, Muramana, Unknown Item, Doran's Blade, Spear of Shojin, Trinity Force, Farsight Alteration"
Dennan0,Nami,"Support, Mage",1,5,10,UTILITY,200,True,7951,7269,31,0,"Dream Maker, Shurelya's Battlesong, Imperial Mandate, Ionian Boots of Lucidity, Tear of the Goddess, Unknown Item, Oracle Lens"
hirako shinji,Ambessa,"Fighter, Assassin",2,11,2,TOP,100,False,6702,13569,113,4,"Voltaic Cyclosword, Caulfield's Warhammer, Boots, Pickaxe, Unknown Item, Long Sword, Stealth Ward"
Lamb Sauced,Kindred,Marksman,5,9,6,JUNGLE,100,False,9436,14439,45,97,"Youmuu's Ghostblade, The Collector, Plated Steelcaps, Cloak of Agility, B. F. Sword, Unknown Item, Oracle Lens"
RumcaiS,Orianna,"Mage, Support",4,7,4,MIDDLE,100,False,9933,13104,170,2,"Luden's Companion, Sorcerer's Shoes, Shadowflame, Needlessly Large Rod, Unknown Item, Unknown Item, Farsight Alteration"
Cloude,KogMaw,"Marksman, Mage",3,8,6,BOTTOM,100,False,10194,16327,187,4,"Luden's Companion, Seraph's Embrace, Sorcerer's Shoes, Horizon Focus, Unknown Item, Unknown Item, Farsight Alteration"
Amrk jr,Poppy,"Tank, Fighter",4,8,5,UTILITY,100,False,7486,7511,29,0,"Boots of Swiftness, Dead Man's Plate, Cloth Armor, Solstice Sleigh, Kindlegem, Null-Magic Mantle, Oracle Lens"
Yunzak,Garen,"Fighter, Tank",13,5,1,TOP,200,True,14913,25974,188,4,"Stridebreaker, Unknown Item, Mortal Reminder, Phantom Dancer, Plated Steelcaps, Infinity Edge, Stealth Ward"
ivanwb,MonkeyKing,"Fighter, Tank",9,4,12,JUNGLE,200,True,11468,17907,35,155,"Trinity Force, Eclipse, Sundered Sky, Plated Steelcaps, Unknown Item, Unknown Item, Oracle Lens"
pawelosky,Xerath,"Mage, Support",13,2,10,MIDDLE,200,True,12309,33710,172,8,"Doran's Ring, Luden's Companion, Sorcerer's Shoes, Horizon Focus, Rabadon's Deathcap, Amplifying Tome, Farsight Alteration"
ØneTrickYasuo,Lux,"Mage, Support",6,3,11,BOTTOM,200,True,9349,13400,126,4,"Doran's Ring, Refillable Potion, Luden's Companion, Horizon Focus, Needlessly Large Rod, Sorcerer's Shoes, Farsight Alteration"
duza dupa lulu,Lulu,"Support, Mage",2,4,21,UTILITY,200,True,7527,6220,22,0,"Dream Maker, Locket of the Iron Solari, Unknown Item, Ionian Boots of Lucidity, Moonstone Renewer, Unknown Item, Oracle Lens"
Nacia Daddy,KSante,"Tank, Fighter",5,0,4,TOP,100,True,8958,14864,169,0,"Iceborn Gauntlet, Doran's Shield, Spectre's Cowl, Unending Despair, Mercury's Treads, Unknown Item, Stealth Ward"
BoruU,Khazix,Assassin,11,4,3,JUNGLE,100,True,10197,16152,3,114,"Youmuu's Ghostblade, Opportunity, Ionian Boots of Lucidity, Serrated Dirk, Long Sword, Ruby Crystal, Oracle Lens"
ND Marek Brázda,Syndra,Mage,4,2,7,MIDDLE,100,True,7991,11832,148,0,"Doran's Ring, Refillable Potion, Needlessly Large Rod, Luden's Companion, Sorcerer's Shoes, Hextech Alternator, Stealth Ward"
Kacper242,Vayne,"Marksman, Assassin",1,5,5,BOTTOM,100,True,6064,9220,113,0,"Berserker's Greaves, Blade of The Ruined King, Unknown Item, Unknown Item, Unknown Item, Unknown Item, Stealth Ward"
BoldogKatica1,Karma,"Mage, Support",5,3,8,UTILITY,100,True,6284,9304,36,4,"Dream Maker, Moonstone Renewer, Bandleglass Mirror, Kindlegem, Ionian Boots of Lucidity, Unknown Item, Oracle Lens"
omer1298,Jax,Fighter,0,6,1,TOP,200,False,5437,6260,108,2,"Refillable Potion, Trinity Force, Doran's Blade, Ruby Crystal, Unknown Item, Unknown Item, Stealth Ward"
just dont be die,Belveth,Fighter,2,7,3,JUNGLE,200,False,5910,5471,6,84,"Scorchclaw Pup, Kraken Slayer, Tiamat, Boots, Dagger, Unknown Item, Stealth Ward"
tomer12,Hwei,"Mage, Support",3,6,3,MIDDLE,200,False,6278,10950,112,0,"Dark Seal, Luden's Companion, Tear of the Goddess, Sorcerer's Shoes, Fiendish Codex, Unknown Item, Stealth Ward"
Amrk jr,Ezreal,"Marksman, Mage",4,4,1,BOTTOM,200,False,7792,11405,135,0,"Ionian Boots of Lucidity, Muramana, Long Sword, Control Ward, Unknown Item, Trinity Force, Farsight Alteration"
Cloude,Swain,"Mage, Support",5,3,5,UTILITY,200,False,6752,11438,20,0,"Solstice Sleigh, Rylai's Crystal Scepter, Ionian Boots of Lucidity, Haunting Guise, Fated Ashes, Unknown Item, Oracle Lens"
pan bronzu,Smolder,"Marksman, Mage",0,0,0,,100,True,4038,0,0,0,"Unknown Item, Unknown Item, Unknown Item, Unknown Item, Unknown Item, Unknown Item, Unknown Item"
XxXShqipetarXxX,Nunu,"Tank, Mage",4,3,14,JUNGLE,100,True,9948,10096,47,100,"Liandry's Torment, Mercury's Treads, Sunfire Aegis, Negatron Cloak, Control Ward, Rejuvenation Bead, Oracle Lens"
Liam Papa,Galio,"Tank, Mage",6,6,15,MIDDLE,100,True,10023,20140,141,0,"Doran's Ring, Hollow Radiance, Mercury's Treads, Riftmaker, Blighting Jewel, Unknown Item, Stealth Ward"
Amrk jr,Caitlyn,Marksman,27,1,3,BOTTOM,100,True,18802,47149,217,12,"Berserker's Greaves, The Collector, Rapid Firecannon, Infinity Edge, Lord Dominik's Regards, Guardian Angel, Farsight Alteration"
Cloude,Bard,"Support, Mage",2,6,19,UTILITY,100,True,8420,11411,33,0,"Bloodsong, Locket of the Iron Solari, Boots of Swiftness, Redemption, Bandleglass Mirror, Dark Seal, Oracle Lens"
LightnigFlash,KSante,"Tank, Fighter",3,4,5,TOP,200,False,9853,15230,147,4,"Fimbulwinter, Iceborn Gauntlet, Randuin's Omen, Plated Steelcaps, Unknown Item, Unknown Item, Stealth Ward"
Makubgulid,FiddleSticks,"Mage, Support",1,5,8,JUNGLE,200,False,9021,8586,21,132,"Zhonya's Hourglass, Amplifying Tome, Sorcerer's Shoes, Malignance, Unknown Item, Unknown Item, Scarecrow Effigy"
Kunae,Ahri,"Mage, Assassin",3,10,5,MIDDLE,200,False,7699,14811,125,0,"Doran's Ring, Malignance, Sorcerer's Shoes, Horizon Focus, Cloth Armor, Unknown Item, Stealth Ward"
JhiNukes,Jhin,"Marksman, Mage",8,9,2,BOTTOM,200,False,9950,16276,100,0,"Zeal, The Collector, Berserker's Greaves, Infinity Edge, Scout's Slingshot, Unknown Item, Farsight Alteration"
GooddnessOfLight,Lux,"Mage, Support",1,11,7,UTILITY,200,False,6175,10555,37,0,"Luden's Companion, Zaz'Zak's Realmspike, Sorcerer's Shoes, Hextech Alternator, Unknown Item, Unknown Item, Oracle Lens"
pan bronzu,Smolder,"Marksman, Mage",14,11,11,TOP,100,True,17276,42685,238,6,"Guardian Angel, Muramana, Trinity Force, Ionian Boots of Lucidity, Rapid Firecannon, Bloodthirster, Farsight Alteration"
Cloude,Teemo,"Marksman, Mage",14,9,20,JUNGLE,100,True,16624,57036,41,204,"Liandry's Torment, Nashor's Tooth, Sorcerer's Shoes, Malignance, Void Staff, Needlessly Large Rod, Oracle Lens"
,Galio,"Tank, Mage",4,12,27,MIDDLE,100,True,11787,27347,139,4,"Sunfire Aegis, Frozen Heart, Jak'Sho, The Protean, Negatron Cloak, Unknown Item, Plated Steelcaps, Stealth Ward"
Amrk jr,Vayne,"Marksman, Assassin",16,7,17,BOTTOM,100,True,18311,49272,287,8,"Berserker's Greaves, Blade of The Ruined King, Chain Vest, Bloodthirster, Terminus, Guinsoo's Rageblade, Farsight Alteration"
xShae,Soraka,"Support, Mage",1,12,27,UTILITY,100,True,9879,9622,29,0,"Dream Maker, Redemption, Control Ward, Moonstone Renewer, Dawncore, Ionian Boots of Lucidity, Oracle Lens"
Feed Flame Blame,Mordekaiser,"Fighter, Mage",10,7,17,TOP,200,False,15481,44700,207,4,"Liandry's Torment, Rylai's Crystal Scepter, Plated Steelcaps, Thornmail, Spirit Visage, Warden's Mail, Oracle Lens"
Hammer Keeper,Poppy,"Tank, Fighter",3,10,13,JUNGLE,200,False,11886,12536,20,145,"Thornmail, Locket of the Iron Solari, Redemption, Hollow Radiance, Mercury's Treads, Unknown Item, Oracle Lens"
Mr proxy,Zed,Assassin,14,10,8,MIDDLE,200,False,16678,43399,167,8,"Youmuu's Ghostblade, Maw of Malmortius, Voltaic Cyclosword, Ionian Boots of Lucidity, Axiom Arc, Tunneler, Oracle Lens"
OutJinxed,Jinx,Marksman,24,11,8,BOTTOM,200,False,20960,59925,237,4,"Mortal Reminder, The Collector, Zephyr, Runaan's Hurricane, Bloodthirster, Guardian Angel, Farsight Alteration"
ξCŁIPŞξ,Leona,"Tank, Support",0,12,21,UTILITY,200,False,9096,12969,35,0,"Celestial Opposition, Sunfire Aegis, Locket of the Iron Solari, Plated Steelcaps, Ruby Crystal, Bramble Vest, Oracle Lens"
janborecek,Ryze,Mage,6,7,6,TOP,100,True,11674,24397,208,4,"Seraph's Embrace, Rod of Ages, Sorcerer's Shoes, Rabadon's Deathcap, Sapphire Crystal, Cloth Armor, Stealth Ward"
Cloude,MonkeyKing,"Fighter, Tank",7,4,14,JUNGLE,100,True,12962,24198,28,177,"Trinity Force, Caulfield's Warhammer, Plated Steelcaps, Tunneler, Ravenous Hydra, Ruby Crystal, Oracle Lens"
FNC Capo,Vladimir,"Mage, Fighter",8,6,8,MIDDLE,100,True,12624,29135,216,4,"Stormsurge, Ionian Boots of Lucidity, Mejai's Soulstealer, Liandry's Torment, Rabadon's Deathcap, Unknown Item, Farsight Alteration"
Amrk jr,Ashe,"Marksman, Support",13,9,8,BOTTOM,100,True,14942,27178,236,0,"Berserker's Greaves, Kraken Slayer, Phantom Dancer, Bloodthirster, Lord Dominik's Regards, Unknown Item, Farsight Alteration"
xShae,Soraka,"Support, Mage",4,4,20,UTILITY,100,True,10117,6097,22,0,"Dream Maker, Redemption, Control Ward, Moonstone Renewer, Ionian Boots of Lucidity, Dawncore, Oracle Lens"
ŻęÞøŁê,Volibear,"Fighter, Tank",8,7,1,TOP,200,False,14556,31466,244,12,"Nashor's Tooth, Mejai's Soulstealer, Rabadon's Deathcap, Cosmic Drive, Amplifying Tome, Berserker's Greaves, Stealth Ward"
inviincible,Gragas,"Fighter, Mage",4,6,7,JUNGLE,200,False,9514,15157,15,122,"Hextech Rocketbelt, Aether Wisp, Sorcerer's Shoes, Stormsurge, Kindlegem, Unknown Item, Farsight Alteration"
John Lee,Katarina,"Assassin, Mage",3,7,3,MIDDLE,200,False,8518,14812,124,0,"Doran's Shield, Refillable Potion, Blade of The Ruined King, Mercury's Treads, Kraken Slayer, Unknown Item, Stealth Ward"
A A T R Ο Χ,Aphelios,Marksman,12,9,3,BOTTOM,200,False,14909,40274,201,4,"The Collector, Infinity Edge, Mortal Reminder, Immortal Shieldbow, Unknown Item, Berserker's Greaves, Farsight Alteration"
Zepole Pelati,Blitzcrank,"Tank, Support",3,9,8,UTILITY,200,False,8055,8252,20,0,"Solstice Sleigh, Control Ward, Locket of the Iron Solari, Thornmail, Plated Steelcaps, Giant's Belt, Stealth Ward"
janborecek,Pantheon,"Fighter, Assassin",5,9,1,TOP,100,False,10628,22697,155,4,"Quicksilver Sash, Mercury's Treads, Eclipse, Maw of Malmortius, Long Sword, Pickaxe, Stealth Ward"
Cloude,Skarner,"Tank, Fighter",4,10,6,JUNGLE,100,False,10476,21084,8,139,"Sterak's Gage, Heartsteel, Mercury's Treads, Spectre's Cowl, Kindlegem, Unknown Item, Oracle Lens"
FNC Capo,Vladimir,"Mage, Fighter",9,7,5,MIDDLE,100,False,13063,39608,222,2,"Rabadon's Deathcap, Liandry's Torment, Stormsurge, Ionian Boots of Lucidity, Spectre's Cowl, Ruby Crystal, Farsight Alteration"
Amrk jr,Sivir,Marksman,2,4,3,BOTTOM,100,False,13063,24787,275,0,"Ionian Boots of Lucidity, Muramana, The Collector, Last Whisper, Cloak of Agility, Hubris, Farsight Alteration"
xShae,Nami,"Support, Mage",1,8,4,UTILITY,100,False,6759,9038,25,0,"Zaz'Zak's Realmspike, Shurelya's Battlesong, Amplifying Tome, Imperial Mandate, Ionian Boots of Lucidity, Control Ward, Oracle Lens"
GoodDemise,Mordekaiser,"Fighter, Mage",10,5,6,TOP,200,True,15834,30275,223,12,"Jak'Sho, The Protean, Rylai's Crystal Scepter, Chain Vest, Mercury's Treads, Riftmaker, Liandry's Torment, Stealth Ward"
Snayper,Shyvana,"Fighter, Mage",13,4,13,JUNGLE,200,True,16733,50051,39,212,"Riftmaker, Shadowflame, Liandry's Torment, Spear of Shojin, Unknown Item, Sorcerer's Shoes, Stealth Ward"
LeinadGnord,Velkoz,"Mage, Support",8,3,12,MIDDLE,200,True,13660,30894,190,2,"Doran's Ring, Sorcerer's Shoes, Shadowflame, Blackfire Torch, Rabadon's Deathcap, Fiendish Codex, Stealth Ward"
Drongu ,Aphelios,Marksman,6,7,6,BOTTOM,200,True,12124,32094,201,0,"Infinity Edge, The Collector, Lord Dominik's Regards, Berserker's Greaves, Dagger, Dagger, Stealth Ward"
Coconut69,Lulu,"Support, Mage",1,2,13,UTILITY,200,True,8513,6008,28,0,"Dream Maker, Shurelya's Battlesong, Ionian Boots of Lucidity, Ardent Censer, Moonstone Renewer, Unknown Item, Stealth Ward"
Disaster Disease,Sion,"Tank, Fighter",1,10,10,TOP,100,False,9381,18967,173,0,"Boots of Swiftness, Heartsteel, Doran's Shield, Sunfire Aegis, Negatron Cloak, Cull, Oracle Lens"
